,x,y,z,role
481,29.712433,6.964213,19.135519,Marketing & Communications-Intern
482,27.853548,3.9245708,12.05134,Marketing & Communications-Intern
483,29.712433,6.964213,19.135519,Marketing & Communications-Intern
484,29.712433,6.964213,19.135519,Marketing & Communications-Intern
485,-18.400808,10.826483,0.823536,Marketing & Communications-Intern
486,29.712433,6.964213,19.135519,Marketing & Communications-Intern
487,29.712433,6.964213,19.135519,Marketing & Communications-Intern
488,26.845911,5.243887,11.976182,Marketing & Communications-Intern
489,29.712433,6.964213,19.135519,Marketing & Communications-Intern
490,29.712433,6.964213,19.135519,Marketing & Communications-Intern
491,29.712433,6.964213,19.135519,Marketing & Communications-Intern
492,26.845911,5.243887,11.976182,Marketing & Communications-Intern
493,29.712433,6.964213,19.135519,Marketing & Communications-Intern
494,-17.905968,11.585422,1.7222612,Marketing & Communications-Intern
495,29.712433,6.964213,19.135519,Marketing & Communications-Intern
496,29.712433,6.964213,19.135519,Marketing & Communications-Intern
497,29.712433,6.964213,19.135519,Marketing & Communications-Intern
498,29.712433,6.964213,19.135519,Marketing & Communications-Intern
499,29.712433,6.964213,19.135519,Marketing & Communications-Intern
500,29.712433,6.964213,19.135519,Marketing & Communications-Intern
501,29.712433,6.964213,19.135519,Marketing & Communications-Intern
502,29.712433,6.964213,19.135519,Marketing & Communications-Intern
503,29.712433,6.964213,19.135519,Marketing & Communications-Intern
